"time","PX"
0,5
1.5,274.2117280470634
3,348.5287128652691
4.5,322.45849016850184
6,274.9395051525439
7.5,239.57479405634095
9,228.7032483526509
10.5,242.54488607775605
12,273.3128665842528
13.5,310.27283735383617
15,343.4256462143185
16.5,364.42254209571394
18,367.25582371153035
19.5,350.07183279614577
